Date,Open,High,Low,Close,Volume,hour_change,24hr_change
11/8/2015 16:00,386.58,386.58,386.58,386.58,0,0,-2.759
11/8/2015 15:00,386.89,386.89,386.58,386.58,0.001625612,-0.08,-0.982
11/8/2015 14:00,386.89,386.89,386.89,386.89,0,0,-1.146
11/8/2015 13:00,386.89,386.89,386.89,386.89,0,0,-2.093
11/8/2015 12:00,386.44,386.89,386.44,386.89,1.3,0.116,-0.592
11/8/2015 11:00,386.44,386.44,386.44,386.44,0,0,-0.127
11/8/2015 10:00,386.44,386.44,386.44,386.44,0,0,-4.209
11/8/2015 9:00,377.77,386.44,377.77,386.44,0.1,2.244,-1.965
11/8/2015 8:00,377.77,377.77,377.77,377.77,0,0,-2.235
11/8/2015 7:00,387.25,387.25,377.77,377.77,23.00704935,-2.509,-5.385
11/8/2015 6:00,387.25,387.25,387.25,387.25,0,0,-5.385
11/8/2015 5:00,387.25,387.25,387.25,387.25,0,0,-5.284
11/8/2015 4:00,389.61,389.61,387.25,387.25,2.203463429,-0.609,-5.893
11/8/2015 3:00,389.61,389.61,389.61,389.61,0,0,-5.602
11/8/2015 2:00,383.67,389.61,383.67,389.61,26.55829619,1.525,-4.147
11/8/2015 1:00,383.67,383.67,383.67,383.67,0,0,-5.18
11/8/2015 0:00,387,387,383.49,383.67,12.52394384,-0.868,-4.815
11/7/2015 23:00,388.13,388.13,387,387,69.02397364,-0.292,-5.177
11/7/2015 22:00,385,388.13,385,388.13,45.78141649,0.806,-2.269
11/7/2015 21:00,385,385,384.99,385,28.344,0,-4.126
11/7/2015 20:00,385.1,388,382.07,385,22.55134277,-0.026,-0.406
11/7/2015 19:00,389.2,389.61,384.53,385.1,57.80368334,-1.065,-2.083
11/7/2015 18:00,382.98,389.61,382.98,389.2,99.08495691,1.598,-0.485
11/7/2015 17:00,383,383.01,382.98,382.98,94.79245776,-0.005,0.163
11/7/2015 16:00,383.5,383.5,382.98,383,20.3,-0.131,0.704
11/7/2015 15:00,388,389.68,383.5,383.5,7.386274057,-1.173,-0.469
11/7/2015 14:00,391.83,391.83,388,388,10.21250917,-0.987,-1.376
11/7/2015 13:00,385.9,391.92,385.9,391.83,13.05587265,1.513,0.137
